"indiv_id","weight_kg","X","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","sex","name"
"marjorine",1,112,1.887416782,5,4004,5244.6,2.64912341973655,310.08,77.049315376582,4680.7,5244.6,"F","marjorine"
"marjorine",1,108,2.434774319,6,3778.4,5357.4,2.46429410445905,387.6,170.109835106616,4680.7,5357.4,"F","marjorine"
"marjorine",1,109,2.03023283,4,3778.4,4930.1,1.97021737649667,258.425,121.810929312603,4455.1,4930.1,"F","marjorine"
"marjorine",1,111,1.91079569,5,3778.4,5019.1,2.61671094725988,275.62,38.5050905725464,4680.7,5019.1,"F","marjorine"
"marjorine",1,107,0.962847938,3,3665.6,4680.7,3.11575678941735,459.366666666667,131.563571452486,4680.7,4342.3,"F","marjorine"
"mary",1.2,53,3.948035801,9,3193.4,6184.1,2.2796145865041,363.677777777778,94.1462662267838,3801.7,5575.9,"F","mary"
"mary",1.2,52,4.12518597,9,2227.3,6236.4,2.18171982195508,497.655555555556,231.028905719128,3563.6,5880,"F","mary"
"mary",1.2,54,4.221824777,9,2667.7,6252.4,2.1317796155423,497.655555555556,120.112510912801,4126.6,5543.8,"F","mary"
"mary",1.2,55,2.615859294,5,3510.4,6143.3,1.91141779355966,499.58,165.681643521544,4826.9,6106.7,"F","mary"
"mary",1.2,50,3.970227735,8,2381.6,6159.2,2.01499776183494,592.1875,208.13122534662,3983,5871.8,"F","mary"
"mary",1.2,51,4.888624381,11,3388.9,6249.7,2.25012174033094,383.690909090909,80.4802516713939,4005.1,5413.5,"F","mary"
"mary",1.2,56,3.068472108,6,2815.7,6253,1.95537055212496,502.466666666667,167.175891403835,4241.8,5960.4,"F","mary"
"mary",1.2,49,2.570116416,5,2943.7,6331.7,1.94543716731001,465.12,98.199806517121,4498.9,6165.1,"F","mary"
"mary",1.2,53,3.948035801,9,3193.4,6184.1,2.2796145865041,363.677777777778,94.1462662267838,3801.7,5575.9,"F","mary"
"mary",1.2,52,4.12518597,9,2227.3,6236.4,2.18171982195508,497.655555555556,231.028905719128,3563.6,5880,"F","mary"
"mary",1.2,54,4.221824777,9,2667.7,6252.4,2.1317796155423,497.655555555556,120.112510912801,4126.6,5543.8,"F","mary"
"mary",1.2,55,2.615859294,5,3510.4,6143.3,1.91141779355966,499.58,165.681643521544,4826.9,6106.7,"F","mary"
"mary",1.2,50,3.970227735,8,2381.6,6159.2,2.01499776183494,592.1875,208.13122534662,3983,5871.8,"F","mary"
"mary",1.2,51,4.888624381,11,3388.9,6249.7,2.25012174033094,383.690909090909,80.4802516713939,4005.1,5413.5,"F","mary"
"mary",1.2,56,3.068472108,6,2815.7,6253,1.95537055212496,502.466666666667,167.175891403835,4241.8,5960.4,"F","mary"
"mary",1.2,49,2.570116416,5,2943.7,6331.7,1.94543716731001,465.12,98.199806517121,4498.9,6165.1,"F","mary"
"miakoda",1.07,168,1.097126881,3,4644,6179.9,2.73441481742347,430.666666666667,86.1500048365253,5411.9,6179.9,"F","miakoda"
"miakoda",1.07,167,2.303677838,6,4790.3,6509,2.6045308510712,445.016666666667,184.071631890052,5375.4,6273.8,"F","miakoda"
"miakoda",1.07,166,1.075585862,3,3912.7,5960.4,2.78917760635273,545.5,276.866104823252,5338.8,5960.4,"F","miakoda"
"miakoda",1.07,161,1.604063214,4,4717.2,5704.5,2.49366731004655,344.525,70.3411863704331,5448.5,5667.9,"F","miakoda"
"miakoda",1.07,163,2.454758472,6,4095.5,6362.7,2.44423232201396,588.583333333333,126.781061940128,5302.2,6362.7,"F","miakoda"
"miakoda",1.07,164,1.633127012,4,4534.3,6253,2.44928898402178,710.6,108.373243930409,5741,6253,"F","miakoda"
"miakoda",1.07,165,2.049488591,5,4790.3,6399.3,2.43963300013315,602.92,161.118440906061,5558.2,6399.3,"F","miakoda"
"miakoda",1.07,162,2.066763472,5,4876.8,6710.9,2.41924151831536,602.94,86.1500029019152,5710.5,6710.9,"F","miakoda"
"mickey",1.3,75,6.193378236,10,3169.7,4878.6,1.61462769088983,456.5,194.942396050161,4024.1,4878.6,"M","mickey"
"mickey",1.3,73,7.215887088,15,2227.3,4816.5,2.07874649603996,384.713333333333,102.260932818708,3285.2,4649.4,"M","mickey"
"mickey",1.3,76,8.656334569,16,2423.1,4840.3,1.84835739335897,301.46875,104.302558094229,3598.1,4797.4,"M","mickey"
"mickey",1.3,74,10.302063292,18,1999,4785.6,1.74722281253871,368.461111111111,150.066907191382,3150,4452.4,"M","mickey"
"mowgli",0.89,304,3.468678983,8,4726.4,6193.2,2.30635352513392,301.45,65.0854822521889,5324,6193.2,"M","mowgli"
"mowgli",0.89,307,3.045502846,7,4123.1,6271.3,2.29847100921081,406.071428571429,146.815992706128,5335.8,6236.7,"M","mowgli"
"mowgli",0.89,303,3.63387223,10,4270.3,6060.4,2.75188541783155,267.02,169.615904652574,5164.1,6060.4,"M","mowgli"
"mowgli",0.89,309,3.193074534,7,3603.4,6375.3,2.1922444733011,319.914285714286,65.1138343869521,4504.3,6375.3,"M","mowgli"
"mowgli",0.89,306,3.335398869,8,3464.8,6063.4,2.39851373529982,376.8375,145.126682960587,4469.6,6028.8,"M","mowgli"
"mowgli",0.89,305,2.115390598,5,4677.5,6167.4,2.36362967894783,344.52,105.49135983577,5543.7,6132.7,"M","mowgli"
"mowgli",0.89,308,3.264324176,7,4123.1,6513.9,2.14439486478257,418.371428571429,152.711511400699,5266.5,6513.9,"M","mowgli"
"mufasa",1.18,172,6.740792011,14,3528.8,6445.5,2.07690727990925,572.171428571429,217.91261279051,4501.1,6445.5,"M","mufasa"
"mufasa",1.18,176,5.799226868,12,3412.9,6610.3,2.06924134425844,531.141666666667,141.442532232149,4418.8,6538.5,"M","mufasa"
"mufasa",1.18,175,4.680651501,10,3802.9,7948,2.13645472171204,551.26,330.373856243028,4753.6,7948,"M","mufasa"
"mufasa",1.18,173,5.429396331,10,3460.6,6578.9,1.84182538727251,473.74,142.108262329191,4373.3,6388.8,"M","mufasa"
"mufasa",1.18,174,5.347989237,11,3533.6,6593.7,2.05684781934426,548.118181818182,173.447772070914,4553.7,6593.7,"M","mufasa"
"nicole",1.125,7,2.634541303,6,2928.8,4737.8,2.27743630102428,717.783333333333,265.005210640596,4294.3,4737.8,"F","nicole"
"nicole",1.125,12,2.518800413,6,2704.8,4645.2,2.3820863173727,387.583333333333,242.079015337279,4292.4,3645.6,"F","nicole"
